rgb,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
 p7015 ,255,107,248,160,222,113,10,6,27,64,220,2,48,151,30,38
 p7016 ,255,94,246,175,223,93,3,11,52,172,163,12,54,75,27,58
 p7017 ,255,104,250,127,230,130,7,3,15,0,210,10,60,119,36,18
 p7018 ,255,98,249,157,225,149,10,6,22,62,224,2,50,147,28,41
 p7019 ,255,87,247,174,224,125,3,11,35,171,179,12,54,55,25,59
 p7020 ,255,89,250,128,233,136,7,3,9,0,216,10,66,159,35,23
 p7021 ,255,73,249,156,227,168,9,6,15,62,227,2,55,197,28,46
 p7022 ,255,63,247,168,224,142,3,11,20,169,190,12,57,80,23,64
 p7023 ,255,144,250,140,235,135,8,3,8,0,210,10,90,152,52,28
 p7024 ,255,111,249,155,229,168,9,6,15,63,225,1,78,194,45,51
 p7025 ,255,94,247,161,226,144,3,11,21,168,179,12,77,87,39,69
 p7026 ,255,154,252,133,239,172,7,3,11,0,200,9,74,118,80,28
 p7027 ,255,122,251,151,231,187,8,6,16,62,208,1,62,147,74,52
 p7028 ,255,105,249,162,228,174,2,11,28,168,180,13,62,71,71,70
 p7029 ,251,90,253,120,241,136,11,3,12,0,104,9,77,144,66,29
 p7030 ,255,82,252,135,234,147,12,6,17,61,104,1,69,166,62,54
 p7031 ,255,76,250,138,230,139,5,11,31,168,89,13,66,107,62,73
 p7032 ,249,83,252,139,243,111,19,3,24,1,85,9,79,187,71,28
 p7033 ,252,83,251,147,237,117,20,6,37,60,89,1,67,209,66,53
 p7034 ,251,85,249,136,232,113,15,11,55,167,77,13,63,148,66,73
 p7035 ,246,163,250,113,245,139,9,3,35,1,108,8,103,166,96,27
 p7036 ,233,158,249,112,239,137,10,6,55,59,113,1,87,189,88,53
 p7037 ,213,154,247,97,234,135,1,11,81,166,107,13,80,137,86,73
 p7038 ,197,154,249,128,247,67,9,3,26,0,100,8,93,193,115,28
 p7039 ,171,148,248,132,242,78,11,6,42,58,105,1,78,206,107,55
 p7040 ,139,142,246,119,236,75,0,11,48,166,101,15,72,182,105,76
 p7041 ,226,120,239,137,248,24,9,3,19,2,90,9,77,209,112,27
 p7042 ,215,113,237,144,244,47,11,6,28,58,100,1,62,225,105,55
 p7043 ,194,105,235,133,237,42,0,11,36,166,97,15,63,191,103,75
 p7044 ,249,97,240,156,250,20,9,3,19,3,84,9,75,246,106,28
 p7045 ,254,90,239,177,246,69,11,6,29,57,95,1,61,248,94,56
 p7046 ,250,82,238,188,237,54,0,11,40,161,96,15,65,243,92,77
 p7047 ,253,68,245,151,250,16,9,3,34,25,75,10,61,240,125,32
 p7048 ,255,77,245,167,246,97,11,6,52,47,84,1,48,246,107,61
 p7049 ,255,45,244,168,237,72,0,12,64,131,83,14,56,230,105,83
 p7050 ,255,64,245,144,251,20,9,3,47,121,73,10,74,242,146,34
 p7051 ,255,84,245,157,247,141,11,6,74,37,80,1,60,247,132,64
 p7052 ,255,29,244,147,238,105,0,13,100,44,76,14,62,233,136,85
 p7053 ,255,59,244,130,251,41,9,2,59,125,97,17,126,251,174,35
 p7054 ,255,84,244,127,247,137,11,7,78,28,98,8,110,252,162,66
 p7055 ,255,24,244,101,238,109,0,13,124,22,91,19,103,249,161,86
 p7056 ,255,73,236,121,252,140,9,2,58,61,132,23,107,234,178,30
 p7057 ,255,106,236,118,248,159,11,7,80,38,132,15,91,241,169,60
 p7058 ,255,28,236,89,239,148,0,13,146,85,119,21,91,237,166,81
 p7059 ,255,88,235,134,253,223,9,2,81,7,121,36,74,233,195,28
 p7060 ,255,126,234,137,249,213,11,7,112,50,121,26,61,241,189,57
 p7061 ,255,27,235,122,238,206,0,13,159,143,109,27,67,235,186,78
 p7062 ,255,103,243,137,254,242,10,2,97,3,136,82,61,228,232,35
 p7063 ,255,140,244,132,250,196,10,7,136,46,135,83,54,235,227,66
 p7064 ,255,30,244,105,239,185,0,13,151,140,120,62,61,220,224,88
 p7065 ,255,113,242,117,254,230,13,3,97,1,140,74,67,226,229,36
 p7066 ,255,148,244,116,250,151,12,8,143,42,134,52,54,234,224,68
 p7067 ,255,34,244,95,240,134,5,14,142,131,119,36,63,218,219,91
 p7068 ,255,116,235,129,255,170,24,3,108,0,130,119,113,179,206,42
 p7069 ,255,146,236,126,253,118,20,7,159,41,128,94,98,204,201,77
 p7070 ,255,44,237,105,241,105,14,14,141,128,108,65,100,191,196,100
 p7071 ,255,141,225,130,255,79,14,3,102,1,105,128,87,149,157,48
 p7072 ,255,167,226,139,253,88,11,7,155,41,108,68,72,191,151,86
 p7073 ,255,57,226,133,241,84,3,15,124,128,84,45,77,134,147,109
 p7074 ,255,198,241,125,255,49,13,3,83,1,138,151,69,218,117,51
 p7075 ,255,206,242,136,253,83,10,7,111,40,144,89,57,231,110,90
 p7076 ,255,137,242,133,241,80,1,16,89,125,98,52,59,200,108,113
 p7077 ,255,217,243,129,254,47,11,3,19,0,120,118,63,187,88,67
 p7078 ,255,210,243,138,254,82,10,7,38,38,129,72,49,215,81,104
 p7079 ,255,192,243,133,242,81,1,16,48,121,72,42,57,216,78,126
 p7080 ,255,188,242,130,255,46,11,3,38,0,92,119,82,109,82,75
 p7081 ,255,184,242,146,255,82,10,7,56,36,99,57,66,135,74,111
 p7082 ,255,172,242,140,242,81,1,17,62,121,58,39,70,136,71,133
 p7083 ,255,166,242,138,255,45,13,3,83,0,61,99,73,163,99,64
 p7084 ,255,164,242,157,255,82,9,7,109,34,67,61,59,177,90,107
 p7085 ,255,147,242,170,243,80,1,17,95,116,44,45,60,143,87,129
 p7086 ,255,191,241,149,255,44,15,3,62,1,57,101,91,195,121,68
 p7087 ,255,175,241,181,255,85,9,7,89,31,73,60,79,219,110,111
 p7088 ,255,169,241,200,244,82,1,18,79,112,36,46,70,197,112,133
 p7089 ,255,200,240,152,255,45,14,3,26,0,39,71,107,146,126,74
 p7090 ,255,189,240,180,255,89,9,7,40,31,52,40,92,188,115,115
 p7091 ,255,178,238,197,245,85,2,18,45,107,24,29,81,196,120,137
 p7092 ,255,213,239,145,255,45,13,3,24,1,35,65,90,191,122,73
 p7093 ,255,203,239,167,255,91,9,7,35,32,46,46,75,209,111,115
 p7094 ,255,196,237,175,243,86,2,16,47,113,23,38,67,200,116,138
 p7095 ,255,201,239,166,255,46,10,3,48,1,44,59,88,219,122,73
 p7096 ,255,188,239,164,254,90,9,7,69,38,57,28,75,228,114,115
 p7097 ,255,177,237,141,241,85,2,15,76,128,28,28,70,218,111,137
 p7098 ,255,194,241,194,255,47,11,3,34,0,52,75,91,145,145,71
 p7099 ,255,188,240,194,252,88,8,7,50,40,69,34,80,181,137,111
 p7100 ,255,185,238,188,240,84,1,13,57,128,32,30,72,183,132,133
 p7101 ,255,206,241,148,255,48,10,3,32,0,53,81,105,143,155,67
 p7102 ,255,199,240,174,249,92,8,6,48,35,66,39,91,173,148,106
 p7103 ,255,190,238,177,239,87,1,8,54,118,34,32,82,169,143,128
 p7104 ,255,221,240,153,254,50,9,4,38,1,77,18,111,205,189,81
 p7105 ,255,207,240,155,248,97,8,11,62,33,80,5,98,217,182,118
 p7106 ,255,194,238,126,237,90,2,5,65,115,61,28,88,196,177,138
 p7107 ,255,227,240,113,253,52,8,13,26,0,85,10,90,141,190,86
 p7108 ,255,214,239,116,246,94,7,29,47,29,88,1,81,163,183,125
 p7109 ,255,201,237,89,237,88,2,12,50,108,72,27,77,124,178,143
 p7110 ,255,218,239,109,251,55,7,24,13,0,47,10,74,75,175,69
 p7111 ,255,207,238,114,244,91,6,50,22,27,60,1,68,102,165,100
 p7112 ,255,193,236,100,237,85,2,18,31,104,37,28,68,65,160,118
 p7113 ,255,205,237,93,250,71,5,21,12,0,30,11,74,79,161,77
 p7114 ,255,197,236,93,242,95,6,45,20,28,45,1,68,111,150,102
 p7115 ,255,186,234,84,236,85,1,13,27,104,22,30,70,65,146,118
 p7116 ,255,176,237,94,248,144,6,5,12,0,39,11,70,75,141,66
 p7117 ,255,162,236,100,240,152,7,10,21,28,59,1,63,103,132,93
 p7118 ,255,149,234,109,236,131,2,4,32,103,27,31,66,61,127,106
 p7119 ,255,97,237,98,247,152,6,3,20,2,51,11,75,59,123,69
 p7120 ,255,88,237,104,239,171,7,5,34,29,74,1,68,83,116,93
 p7121 ,255,78,235,105,236,153,2,3,42,106,30,32,74,53,110,109
 p7122 ,255,60,238,96,245,110,5,1,21,2,58,10,64,68,110,40
 p7123 ,255,60,237,93,237,152,7,4,39,30,83,1,59,94,103,70
 p7124 ,255,54,235,80,234,140,2,3,49,108,30,34,66,58,97,92
 p7125 ,255,106,240,121,244,93,4,1,20,0,55,11,56,74,104,39
 p7126 ,255,85,239,116,236,141,5,5,35,33,81,1,52,96,99,68
 p7127 ,255,66,236,88,234,132,1,3,43,116,37,34,61,61,90,90
 p7128 ,255,151,240,152,243,75,3,1,12,0,40,11,55,63,119,62
 p7129 ,255,116,239,141,234,124,4,5,22,35,55,1,51,84,108,84
 p7130 ,255,92,235,93,234,118,1,3,32,122,35,34,62,54,95,101
 p7131 ,255,138,239,100,242,59,4,3,13,1,35,11,55,71,187,42
 p7132 ,255,120,238,95,233,108,5,10,23,38,45,1,50,96,162,72
 p7133 ,255,108,234,68,234,103,0,4,36,125,32,35,61,63,141,91
 p7134 ,255,123,239,105,240,62,3,7,12,1,45,11,54,87,190,38
 p7135 ,255,111,238,100,231,110,5,19,22,37,64,1,49,100,163,69
 p7136 ,255,101,234,83,235,105,0,8,32,126,43,35,58,76,142,87
 p7137 ,255,171,238,108,239,55,4,9,12,1,49,12,54,71,191,43
 p7138 ,255,160,237,102,230,108,6,21,23,37,76,1,50,89,164,73
 p7139 ,255,147,233,87,235,101,1,9,34,129,46,36,57,63,143,91
 p7140 ,255,154,238,115,238,41,4,5,12,1,51,12,51,105,191,44
 p7141 ,255,141,237,114,229,94,6,15,23,40,79,0,48,133,169,72
 p7142 ,255,128,234,105,234,87,1,5,34,135,49,36,58,113,147,90
 p7143 ,255,125,238,97,236,33,3,5,12,1,54,12,46,145,198,55
 p7144 ,255,112,237,89,229,78,5,12,23,41,81,0,43,167,176,76
 p7145 ,255,100,235,84,236,75,1,6,31,134,54,36,54,148,159,91
 p7146 ,255,123,238,97,235,29,3,2,14,0,37,12,42,90,214,115
 p7147 ,255,109,238,96,228,78,5,5,24,39,62,0,39,121,193,109
 p7148 ,255,93,236,92,235,74,1,4,36,131,35,36,53,84,182,113
 p7149 ,255,122,238,127,234,28,3,1,17,0,34,12,42,67,214,128
 p7150 ,255,107,238,131,228,92,4,4,25,37,57,0,39,91,194,115
 p7151 ,255,88,237,131,235,85,1,2,40,127,26,36,53,56,185,118
 p7152 ,255,138,239,122,232,28,2,2,13,0,36,12,39,78,210,145
 p7153 ,255,120,239,131,227,102,1,5,26,36,56,1,36,105,190,127
 p7154 ,255,97,239,139,235,93,1,3,40,124,27,36,51,62,181,126
 p7155 ,255,158,240,136,231,37,1,1,12,0,53,12,39,84,211,164
 p7156 ,255,139,240,146,225,114,1,3,25,36,75,1,36,110,193,140
 p7157 ,255,111,240,152,235,104,0,2,39,119,34,36,51,63,180,136
 p7158 ,255,184,240,124,230,52,1,1,11,1,73,12,39,69,221,190
 p7159 ,255,168,240,127,224,127,1,2,23,33,96,1,35,95,209,159
 p7160 ,255,146,240,135,235,116,1,1,34,112,47,37,51,55,199,151
 p7161 ,255,180,239,131,228,51,1,1,10,1,76,13,41,56,236,229
 p7162 ,255,163,239,140,224,125,1,1,22,30,100,1,36,77,230,193
 p7163 ,255,139,239,150,234,114,1,1,37,108,49,37,51,46,221,173
 p7164 ,255,196,239,147,227,43,1,1,10,1,71,13,39,49,240,253
 p7165 ,255,184,239,152,223,109,1,2,19,28,97,1,35,67,233,240
 p7166 ,255,163,239,156,235,97,1,2,31,104,43,37,49,43,222,225
 p7167 ,255,188,238,143,225,88,2,1,9,1,67,13,35,49,235,255
 p7168 ,255,174,238,147,221,121,3,3,19,27,92,1,32,67,213,255
 p7169 ,255,152,238,148,235,108,3,2,27,103,40,37,47,47,200,254
 p7170 ,250,167,236,139,224,124,2,2,11,0,60,13,33,92,181,255
 p7171 ,250,150,237,136,220,153,3,3,18,27,86,1,31,110,86,254
 p7172 ,250,129,236,132,235,141,2,3,31,103,35,37,45,93,65,251
 p7173 ,196,172,235,121,223,124,3,0,10,0,55,13,32,81,185,248
 p7174 ,196,152,236,119,220,157,7,2,18,25,81,1,30,84,63,222
 p7175 ,196,126,235,98,235,146,4,1,28,100,30,36,44,71,26,204
 p7176 ,109,183,234,136,222,127,2,1,8,0,65,14,32,51,206,214
 p7177 ,109,166,235,131,219,150,6,1,17,25,90,1,30,63,87,175
 p7178 ,109,142,234,111,235,140,3,1,24,98,36,36,44,43,37,160
 p7179 ,64,175,234,178,221,86,0,1,11,0,71,14,31,60,219,167
 p7180 ,69,157,234,172,217,118,0,1,18,27,94,1,29,68,115,138
 p7181 ,67,130,234,166,234,107,0,1,29,101,41,36,44,50,47,132
 p7182 ,48,169,234,186,220,37,0,1,13,1,74,14,30,97,231,65
 p7183 ,59,149,234,183,216,93,0,1,19,28,96,1,28,115,137,69
 p7184 ,56,120,234,184,235,81,0,1,30,104,43,36,44,94,68,82
 p7185 ,63,155,233,172,218,34,0,1,10,1,87,14,30,67,240,34
 p7186 ,80,138,233,169,215,94,0,1,16,27,110,1,27,90,161,49
 p7187 ,77,110,233,170,235,83,0,1,25,105,54,36,43,64,97,64
 p7188 ,135,187,232,147,217,36,0,1,10,1,74,13,30,94,252,29
 p7189 ,151,171,233,142,215,83,0,1,16,25,89,1,27,120,192,46
 p7190 ,149,147,233,138,236,78,0,1,22,101,48,36,43,101,141,60
 p7191 ,236,183,232,117,216,50,0,1,13,1,42,13,28,99,253,24
 p7192 ,247,166,233,115,214,74,0,1,19,24,56,1,25,120,210,41
 p7193 ,248,141,233,109,236,73,0,1,27,97,31,36,41,113,172,56
 p7194 ,243,124,233,111,215,34,0,1,25,1,53,13,29,89,253,20
 p7195 ,253,115,233,109,213,47,0,1,36,22,62,1,26,107,218,37
 p7196 ,254,99,231,104,235,48,0,1,55,92,36,36,42,91,189,52
 p7197 ,243,146,234,142,214,5,0,1,65,1,49,13,27,77,255,15
 p7198 ,253,136,234,137,212,14,0,1,75,20,48,1,24,100,229,32
 p7199 ,255,124,232,134,234,16,0,1,65,88,36,36,41,76,202,48
 p7200 ,255,93,216,161,146,4,5,4,3,3,147,2,142,93,86,4
 p7201 ,255,90,162,195,183,18,8,6,9,55,151,1,113,136,61,15
 p7202 ,255,80,143,224,220,20,2,5,19,152,152,4,84,71,23,27
 p7203 ,255,90,214,164,148,75,5,4,0,1,169,2,102,81,75,3
 p7204 ,255,87,159,205,183,89,7,6,7,51,179,1,72,119,51,14
 p7205 ,255,78,142,238,221,86,2,5,15,147,180,5,60,57,18,24
 p7206 ,255,75,206,164,150,181,4,11,7,2,174,1,98,71,71,4
 p7207 ,255,72,152,200,184,198,7,13,17,64,183,1,67,108,50,15
 p7208 ,255,63,134,230,221,193,2,8,36,168,184,5,59,43,25,26
 p7209 ,254,76,204,163,151,202,4,6,5,1,178,2,84,54,34,4
 p7210 ,254,75,151,195,184,216,5,8,11,68,186,1,56,89,22,15
 p7211 ,254,66,132,227,221,212,1,5,28,176,188,5,52,35,9,29
 p7212 ,255,82,208,161,152,119,5,5,14,2,120,2,60,55,19,4
 p7213 ,255,83,154,199,185,139,8,7,22,71,126,1,38,91,26,18
 p7214 ,255,76,135,232,220,134,2,6,24,179,126,6,42,28,15,33
 p7215 ,254,68,216,162,153,37,2,4,2,1,85,2,53,52,9,5
 p7216 ,254,70,187,195,186,80,4,6,7,72,83,1,36,97,46,18
 p7217 ,254,63,175,225,220,71,1,5,16,183,85,6,41,19,34,33
 p7218 ,253,52,227,161,155,117,7,2,2,1,174,2,42,50,1,5
 p7219 ,253,53,218,196,187,134,13,4,5,70,185,1,28,86,61,18
 p7220 ,253,50,211,228,220,129,3,3,14,180,185,6,40,27,47,34
 p7221 ,253,191,192,164,158,222,10,42,1,0,180,3,31,67,0,6
 p7222 ,253,183,175,207,188,223,16,41,6,67,190,1,20,105,77,19
 p7223 ,253,177,159,243,220,221,4,20,14,176,191,6,40,45,64,35
 p7224 ,254,103,125,165,160,224,11,58,0,0,139,3,50,60,3,7
 p7225 ,254,106,114,211,189,226,15,59,7,68,147,1,35,102,71,21
 p7226 ,254,101,101,247,220,225,5,23,15,175,147,7,44,33,62,37
 p7227 ,255,39,82,161,161,126,12,36,2,1,33,3,57,38,12,7
 p7228 ,255,42,73,207,189,144,15,38,10,69,30,1,45,53,44,22
 p7229 ,255,35,64,243,219,140,6,10,17,172,29,7,51,28,40,39
 p7230 ,255,71,88,156,164,40,6,30,8,0,73,3,30,26,19,8
 p7231 ,255,71,81,202,190,84,8,30,15,68,72,1,24,28,53,24
 p7232 ,255,57,73,236,220,74,4,10,22,170,61,7,39,19,41,40
 p7233 ,255,72,112,142,166,30,12,49,3,1,137,3,30,27,25,9
 p7234 ,255,74,107,174,192,64,15,47,8,67,160,1,25,27,73,25
 p7235 ,255,59,97,197,220,57,5,12,16,168,101,7,40,21,63,41
 p7236 ,255,76,120,155,167,24,7,8,2,0,90,3,36,88,8,9
 p7237 ,255,77,117,164,192,40,10,8,9,58,108,1,33,103,83,25
 p7238 ,255,63,106,163,220,38,3,8,17,153,65,7,44,52,73,41
 p7239 ,255,90,97,163,170,34,5,5,4,2,35,3,42,138,10,10
 p7240 ,255,91,94,187,193,38,6,5,9,55,38,1,39,192,61,26
 p7241 ,255,77,85,213,221,35,3,8,16,151,28,8,46,59,57,42
 p7242 ,255,34,65,160,172,48,3,6,4,1,47,3,45,143,18,13
 p7243 ,255,42,62,152,193,39,3,7,10,57,54,1,42,194,20,30
 p7244 ,255,40,55,142,220,33,2,9,16,151,38,8,49,70,10,45
 p7245 ,255,7,118,171,174,61,3,6,3,1,101,3,42,183,17,17
 p7246 ,255,15,106,169,194,38,3,7,10,56,119,1,39,219,16,34
 p7247 ,255,16,88,174,220,30,2,9,16,150,72,8,47,146,7,49
 p7248 ,255,32,142,168,177,51,5,7,4,1,101,5,41,214,17,17
 p7249 ,255,36,128,182,194,29,5,8,10,57,120,2,37,231,17,34
 p7250 ,255,35,107,199,220,24,4,9,18,149,68,9,46,209,12,49
 p7251 ,255,37,171,156,179,28,7,38,8,1,94,6,41,182,46,17
 p7252 ,255,40,160,155,195,23,8,41,11,57,110,2,37,204,43,35
 p7253 ,255,40,143,153,220,21,4,28,19,149,62,9,46,193,44,48
 p7254 ,255,8,226,159,183,18,13,88,11,1,49,7,45,214,86,19
 p7255 ,255,15,216,163,197,24,14,92,13,61,56,3,43,225,80,36
 p7256 ,255,14,208,171,220,22,7,68,18,161,37,10,50,215,82,50
 p7257 ,255,25,226,157,185,9,10,15,11,1,46,7,48,240,109,22
 p7258 ,255,31,210,183,197,16,11,17,14,67,51,3,44,241,103,38
 p7259 ,255,28,199,213,220,14,6,13,19,174,41,10,51,231,96,52
 p7260 ,255,51,223,159,187,6,6,9,15,1,49,8,56,248,176,21
 p7261 ,255,48,174,202,199,19,7,11,16,69,53,3,50,249,167,38
 p7262 ,255,40,153,238,220,15,3,8,22,174,45,10,55,236,150,51
 p7263 ,255,22,225,166,189,8,5,7,17,1,73,8,55,218,182,15
 p7264 ,255,21,173,206,200,24,7,9,16,70,78,2,49,236,175,33
 p7265 ,255,19,152,240,220,18,4,8,23,177,61,11,52,195,150,48
 p7266 ,255,30,225,166,192,7,5,12,19,1,77,8,59,220,190,13
 p7267 ,255,31,174,206,200,11,6,15,19,73,83,2,51,233,178,31
 p7268 ,255,30,152,243,220,8,4,14,24,181,61,11,51,223,147,46
 p7269 ,255,46,231,164,194,11,7,26,23,1,79,9,64,246,202,14
 p7270 ,255,42,201,208,202,13,8,31,24,75,90,2,57,249,185,31
 p7271 ,255,40,188,245,221,10,6,29,32,184,70,11,54,248,144,47
 p7272 ,255,48,243,161,196,9,13,16,37,1,84,9,60,239,213,16
 p7273 ,255,47,245,208,202,15,14,19,44,74,94,2,53,244,195,33
 p7274 ,255,43,245,244,221,13,15,17,63,182,73,11,55,239,142,49
 p7275 ,255,103,244,161,199,6,10,12,42,1,100,9,67,236,225,18
 p7276 ,255,91,245,208,203,10,13,15,49,70,108,2,58,244,202,35
 p7277 ,255,79,247,246,221,9,11,11,47,179,90,12,58,243,144,51
 p7278 ,255,207,244,161,201,6,5,21,22,2,103,10,67,209,233,20
 p7279 ,255,191,246,208,204,9,9,22,24,70,113,2,57,233,208,37
 p7280 ,255,169,247,246,221,9,7,15,28,177,95,12,57,253,149,53
 p7281 ,255,167,247,161,203,12,6,11,14,0,110,10,58,201,238,19
 p7282 ,255,139,248,208,206,21,10,12,17,68,122,1,46,228,212,36
 p7283 ,255,117,247,246,221,20,2,11,23,170,106,12,55,251,161,52
 p7284 ,255,192,249,154,206,15,6,7,13,1,127,11,42,180,238,19
 p7285 ,255,171,249,200,208,22,9,11,16,61,140,1,33,205,216,36
 p7286 ,255,153,249,237,221,20,3,10,23,160,123,12,47,206,175,52
 p7287 ,255,118,250,148,208,13,6,8,22,1,105,10,46,169,222,21
 p7288 ,255,103,250,192,209,21,8,12,30,66,117,2,39,190,205,38
 p7289 ,255,88,250,226,221,19,3,11,35,171,102,12,53,150,162,54
 p7290 ,255,101,249,131,209,17,5,7,24,1,42,10,38,146,94,21
 p7291 ,255,92,249,170,210,40,7,11,32,75,49,2,31,169,89,38
 p7292 ,255,79,248,199,222,36,2,12,34,184,37,12,46,109,70,54
 p7293 ,255,145,247,129,211,44,5,7,25,1,43,10,42,152,61,21
 p7294 ,255,136,247,168,212,82,7,11,36,75,51,2,37,190,56,40
 p7295 ,255,126,246,197,222,74,2,12,44,186,38,12,51,81,53,55
 p7296 ,255,201,248,138,213,103,6,7,18,1,67,11,43,122,57,22
 p7297 ,255,192,248,170,213,138,8,11,27,76,74,2,39,154,52,41
 p7298 ,255,186,248,191,221,128,2,11,38,187,57,12,51,58,53,56
 p7299 ,255,214,249,124,216,146,6,6,35,1,140,11,46,86,74,23
 p7300 ,255,207,249,146,215,171,9,10,49,74,152,2,40,101,69,42
 p7301 ,255,204,249,158,222,162,2,11,64,185,112,12,51,60,68,57
 p7302 ,255,143,248,119,218,201,6,7,22,1,195,11,60,108,76,22
 p7303 ,255,132,248,148,216,211,9,11,34,70,206,2,50,138,72,41
 p7304 ,255,122,248,166,222,206,2,12,42,180,152,12,61,43,68,56
 p7305 ,255,126,247,109,221,192,6,5,26,1,188,11,60,153,61,23
 p7306 ,255,97,247,121,217,198,9,9,38,69,207,2,50,192,56,42
 p7307 ,255,79,247,122,222,196,2,11,41,179,141,12,59,58,57,57
 p7308 ,255,131,247,124,222,86,7,3,21,1,167,11,56,175,42,23
 p7309 ,255,111,247,148,219,102,10,6,31,66,191,2,47,202,39,43
 p7310 ,255,97,246,158,222,97,3,11,38,179,117,12,54,108,32,59
 p7311 ,255,119,248,135,225,43,7,3,21,1,153,11,61,164,50,17
 p7312 ,255,112,247,153,221,57,10,6,30,66,180,2,49,186,43,38
 p7313 ,255,101,245,157,223,47,3,11,36,176,102,12,58,123,40,57
 p7314 ,255,117,248,143,228,115,7,3,25,0,162,11,71,144,50,15
 p7315 ,255,110,248,173,223,126,10,6,34,66,198,2,60,158,41,37
 p7316 ,255,98,246,191,223,105,3,11,46,173,108,12,63,118,39,57
 p7317 ,255,110,249,143,231,134,7,3,22,1,174,11,69,149,60,19
 p7318 ,255,104,248,178,225,155,9,6,32,64,208,2,59,167,51,42
 p7319 ,255,92,246,197,224,132,2,11,41,172,115,12,58,111,48,60
 p7320 ,255,85,250,149,233,135,8,3,9,0,168,10,69,161,92,24
 p7321 ,255,70,249,181,228,168,9,6,18,63,197,2,59,187,84,47
 p7322 ,255,60,247,207,225,143,2,11,27,170,110,12,59,113,78,64
 p7323 ,255,116,251,151,235,133,8,3,10,0,158,10,99,162,119,28
 p7324 ,255,90,250,183,229,166,10,6,17,63,189,1,88,193,112,51
 p7325 ,255,75,247,198,226,142,1,11,25,169,98,13,82,112,106,69
 p7326 ,255,157,252,139,239,173,9,3,14,0,158,10,88,120,116,29
 p7327 ,255,123,251,162,231,187,10,6,19,63,179,1,76,137,110,53
 p7328 ,255,107,249,167,228,174,1,11,30,169,115,14,66,96,107,71
 p7329 ,252,118,252,150,241,139,9,3,14,0,95,9,89,180,69,28
 p7330 ,255,106,252,174,234,149,11,6,20,63,98,1,78,197,64,54
 p7331 ,255,97,250,182,230,142,2,11,31,169,80,14,68,156,64,72
 p7332 ,250,76,252,142,243,113,25,3,14,0,77,9,108,165,80,27
 p7333 ,253,73,251,143,237,114,26,6,21,62,79,1,94,192,75,53
 p7334 ,251,73,249,131,232,111,21,11,36,168,68,13,82,125,75,72
 p7335 ,249,126,250,106,245,138,10,3,14,0,105,10,105,142,110,32
 p7336 ,241,124,249,104,239,128,12,6,22,61,108,1,89,167,101,57
 p7337 ,222,123,247,93,234,129,2,11,36,168,101,13,77,108,99,77
 p7338 ,223,168,249,137,247,67,10,3,14,0,103,10,99,221,126,32
 p7339 ,202,160,248,137,242,75,12,6,28,60,106,1,85,228,117,58
 p7340 ,173,153,246,115,236,73,0,11,39,167,102,14,77,209,117,79
 p7341 ,235,123,247,148,248,24,10,3,15,1,95,10,80,242,131,33
 p7342 ,226,116,246,151,243,62,12,6,23,59,102,1,68,245,123,60
 p7343 ,207,108,244,136,237,51,0,11,36,166,101,15,64,236,127,81
 p7344 ,249,97,236,160,250,18,10,3,14,2,90,11,71,243,142,31
 p7345 ,253,90,235,184,246,108,12,6,23,59,100,1,60,247,125,59
 p7346 ,249,83,235,188,237,77,0,11,34,162,100,14,60,238,128,81
 p7347 ,253,72,237,150,250,16,10,3,13,19,83,11,78,239,132,34
 p7348 ,255,79,237,175,246,137,12,6,25,55,92,1,67,245,100,63
 p7349 ,255,47,237,187,237,98,0,13,35,151,93,14,71,232,86,85
 p7350 ,255,68,244,146,251,23,10,3,17,98,76,11,63,231,114,34
 p7351 ,255,89,244,152,247,162,12,6,26,34,83,2,51,239,98,63
 p7352 ,255,29,245,140,238,120,0,13,37,48,81,15,58,224,100,84
 p7353 ,255,95,243,119,251,41,10,2,20,71,93,37,87,243,128,36
 p7354 ,255,124,243,115,247,148,12,7,30,17,95,34,72,247,115,65
 p7355 ,255,32,244,92,238,115,0,13,47,16,87,34,72,241,115,86
 p7356 ,255,75,242,155,252,126,10,2,19,39,95,61,124,204,126,38
 p7357 ,255,105,243,158,248,146,12,7,29,40,97,61,110,224,116,69
 p7358 ,255,25,243,143,239,134,0,13,45,102,81,53,104,196,112,90
 p7359 ,255,73,234,133,253,217,10,2,21,2,96,49,99,222,113,39
 p7360 ,255,106,234,140,249,203,12,7,37,50,98,34,85,235,104,70
 p7361 ,255,24,235,137,238,195,1,13,57,147,80,29,86,217,102,92
 p7362 ,255,89,235,113,254,239,10,2,25,2,87,69,62,232,107,44
 p7363 ,255,125,235,104,250,205,11,7,44,48,90,48,54,237,99,76
 p7364 ,255,30,237,73,239,196,1,13,68,148,68,36,59,228,96,98
 p7365 ,255,120,241,112,254,220,15,3,29,2,86,95,104,228,100,44
 p7366 ,255,153,242,108,250,184,15,8,44,47,80,51,89,235,91,77
 p7367 ,255,49,244,89,240,170,7,14,66,139,66,43,92,222,86,100
 p7368 ,255,155,241,136,255,155,18,3,40,0,88,123,99,185,112,46
 p7369 ,255,172,242,125,253,142,16,7,65,48,94,61,83,208,104,82
 p7370 ,255,92,244,108,241,129,9,15,76,141,62,49,85,208,98,106
 p7371 ,255,163,230,176,255,70,15,3,59,1,65,149,62,164,65,51
 p7372 ,255,173,230,180,253,90,11,7,90,46,74,64,51,197,56,87
